id,marker,start,end,title,desc,pic,pos,color,size,opacity,edge,mapMarker,mapColor,mapSize,where,show,click,citation
,,,,,CHINESE,,,,,,,,,,,,,
over-2,story,286,,Chinese Tibet,"<p><span style=""font-family: verdana, geneva; color: black;"">Gonkar Gyatso's second painting in his series depicts a Tibetan identity that is the result of Chinese invasion and control over the region since 1950. These vast changes on life in Tibet are indicated through various objects in the painting. The influence of China on Tibetan culture is made very clear when looking at the stark changes from the first painting.&nbsp</span</p><p><strong><span style=""font-family: verdana, geneva; color: black;"">The Picture of Mao</span></strong></p><p<span style=""white-space: pre-wrap; font-family: verdana, geneva;""><span style=""color: black;"">Presumably a painting of Mao. The connection here is with the political climate of the 1950s, 1960s and 1970s the specific details leading to China&rsquo;s arrival in Tibet and the Cultural Revolution, and, in general, the various geopolitical aspects of the Communist influence in Lhasa.</span></span></p><p><span style=""white-space: pre-wrap; font-family: verdana, geneva;""><span style=""color: black;""><strong>The Wall of Pamphlets</strong> </span></span></p><p><span style=""white-space: pre-wrap; font-family: verdana, geneva;""><span style=""color: black;"">Seems to be made out of various leaflets from the time period, instead of the bright, religious colors from the previous picture. These were frequently handed out during the Cultural Revolution. Could be used to discuss the various interruptions to daily religious life caused by the political turmoil happening at the time, and forced compartmentalization of Buddhism under Chinese occupation. </span</span</p><p><strong><span style=""white-space: pre-wrap; font-family: verdana, geneva;""><span style=""color: black;"">The Clothing</span</span></strong></p><p><span style=""white-space: pre-wrap; font-family: verdana, geneva;""><span style=""color: black;"">Chinese Soldier&rsquo;s uniform. There could be a link here to the discussion on the various acts committed by the Chinese military in Lhasa (burning of temples, execution/humiliation of monks, etc.), as well as the general effects of Tibet&rsquo;s gradual transformation into a pseudo-police state</span</span></p><p><strong><span style=""white-space: pre-wrap; font-family: verdana, geneva;""><span style=""color: black;"">The Furniture/Chest</span></span></strong></p><p><span style=""white-space: pre-wrap; font-family: verdana, geneva;""><span style=""color: black;"">Same chest as in the previous painting, only repainted red (Communist color). Lead into discussion of the destruction and repurposing of Tibetan buildings and living spaces after the arrival of the Chinese.</span></span></p><p><strong><span style=""white-space: pre-wrap; font-family: verdana, geneva;""><span style=""color: black;"">Bust of Mao</span></span></strong></p><p><span style=""white-space: pre-wrap; font-family: verdana, geneva;""><span style=""color: black;"">Instead of the flower from the previous picture, a statue of, again, presumably Mao, or some other communist leader. There could be a link here to the discussion of the Chinese&rsquo;s disrespect of the Tibetan natural landscape, and their general interruption of the traditional Tibetan relationship with the land.</span></span></p>",,,,,,,,,,,,,
invasion-2,story,330,,Occupation,"<p><strong>Invasion and Preliminary Occupation (1950-1958)</strong></p>  <p>The People's Liberation Army invaded Tibet on October 7th in 1950 bringing 40,000 troops into the country. China invaded primarily to gain land and the vast amount of natural resources present in the area. Shortly after the invasion or “liberation,” in China's eyes, the 14th Dalai Lama signed the Seventeen Point Agreement with the Chinese government. This agreement placed the Dalai Lama as the ruler over Tibet and established Chinese sovereignty over the region.&nbsp;</p>  <p><img src=""https://farm5.staticflickr.com/4547/38752018992_59a0752cde_o_d.jpg"" alt="""" width=""66%""></p><p>In 1959, the 14th Dalai Lama fled to India on March 17th disguised as a soldier in order to escape Communist controlled Tibet. His escape was a large turning point for the power the Chinese government could exert over the region. With the Dalai Lama out of the government, China could implement the Great Leap Forward program in Tibet.&nbsp;</p><p><img src=""https://farm5.staticflickr.com/4555/37896502795_8f445d8ef3_b_d.jpg"" alt="""" width=""66%""></p><p><strong>The Great Leap Forward (1958-1962)</strong></p><p>Started in 1958 by Mao, the Great Leap Forward had as its main goal to collectivize the citizens of China into specialized communes that would produce one specific product for the rest of the country. It would be considered one of the biggest policy disasters in history as a result of those living in the collectives inflating what they produced to tax collectors and the compulsory state purchases of grain at a fixed price. The result of this was a death toll which some estimate is as high as 55 million people. This massive famine is illustrated zoomer(here, https://i1.wp.com/www.scottmanning.com/wp-content/uploads/2009/03/chinadeathratecalories1955-1964.png?w=481).  The high death toll is also evident in the effect of the world's birth rate. In short, the dimension of the policy failure of The Great Leap Forward was so great, it could be measured in terms of the effect it had on the world's population zoomer(here, https://ourworldindata.org/wp-content/uploads/2013/05/Updated-World-Population-Growth-Rate-Annual-1950-2100.png). </p><p><img src=""https://farm5.staticflickr.com/4573/38065997564_84ecd959c3_z_d.jpg"" width=""66%""></p><p><strong>The Cultural Revolution (1966-1976)</strong></p><p>Initiated in 1966 by Mao, the Cultural Revolution sought to promote communist ideals among those living in China as better than liberal/capitalistic ideas. Red Guard was formed by the youth of the country and many, many senior members in the government were the victims of Mao&rsquo;s purges. As many as 1.5 million died, but many more millions were subject to struggle sessions where they were tortured. The Little Red Book played a huge role in influencing millions during the Cultural Revolution, by spreading the teachings of Mao to those living under the Communist regime. Mao sought to eliminate what he called the ""Four Olds"" meaning Old Customs, Old Culture, Old Habits, and Old Ideas.&nbsp;</p>  <p><img src=""https://farm5.staticflickr.com/4538/37896502975_d12956874f_z_d.jpg"" width=""66%""></p>  <p>Both of these major political moves by Mao&rsquo;s regime greatly affected Tibetans who just after seeing their country be invaded by China saw their entire system change. Monks and Nuns were forced out of monasteries to work in collectives. All were forced into a regime that was trying to change its own country's years old traditions and saw their way of life changed forever.&nbsp;<br /><br />In 1962, the Tenth Panchen Lama wrote the 70,000 Character petition to Zhou Enlai which discussed the oppression of the Tibetan people. It is considered to still be the most detailed discussion on China's policies in Tibet. It includes his firsthand experiences of seeing monasteries destroyed in the name of ""religious freedom"" under Communist control. This text was not released until 1996, a very telling fact about the control China exerts over the region.&nbsp;</p>  <p><strong>Destruction of Monasteries&nbsp;</strong></p>  <p>Before the Chinese exerted control over Tibet, the region was home to more than 6,000 Buddhist monasteries. After the Great Leap Forward and the Cultural Revolution, only 8 monasteries were unscathed. Here we know the locations of just 580 monasteries, one can only imagine what over 6,000 would look like. Since the 1980s, Tibetans have started to rebuild, only some of the ones on the map have actually been rebuilt. This is very tangible evidence of the control and influence these two policies had over the region and how the way of life for many Tibetans changed and how the effects can still be seen today.</p><p><img src=""https://farm5.staticflickr.com/4573/38752018742_68df730c0f_o_d.jpg"" width=""66%""></p>",,2,,,,,,,,"91.4441,31.6869,3000",,,
comm-2,story,374,,Communist Control ,"<p>Few believe that the Chinese Communist Party&rsquo;s strategy for Tibet is working today. The economic development and political repression China that have been pressed upon the Tibetan people were meant to reconcile Tibetans to Chinese rule and to make them abandon their loyalty to the Dalai Lama. These policies, much to Chinese dismay, had the opposite effect. Immolation is mainly meant to call for the Dalai Lama&rsquo;s homecoming.</p> <p>The immolations and other forms of protest are easily contained because of the heavy Chinese police presence and the Dalai Lama&rsquo;s commitment to non-violence. Not only is there an existence of the Chinese military in Tibet, but also the Chinese police are also overwhelming present in everyday life. The military play a larger role in the administration of Tibet than any other Chinese province. No Tibetan serves in the leadership of the military district governing Tibet.</p><p>Human rights conditions in Tibet remain dismal. Under the Chinese occupation, the Tibetan people are denied most rights guaranteed in the Universal Declaration of Human Rights including the rights to self-determination, freedom of speech, assembly, movement, expression and travel.&nbsp;This information shows the little to no progress that Tibetans have made to free themselves from the strict rule of the Chinese.&nbsp;</p><p><strong>How Do Tibetans Protest?</strong></p><ol>         <li><em>Tibetan Uprising day</em>: Protests often take place around Tibetan National&nbsp; Uprising Day on March 10th. The day commemorates China&rsquo;s suppressing starting in 1959.&nbsp;</li>         <li><em>Non-Violence</em>: Most of the Tibetan protests are peaceful. They are mostly non-violent to follow the path of the Dalai Lama.&nbsp;</li>         <li><em>New forms of protest</em>: In 2013 Tibetans were ordered to fly Chinese flags in their homes. In response to this, many Tibetans gathered to throw the flags in the river.&nbsp;</li>         <li><em>Everyday resistance</em>: Many of these forms of resistance are subtle. Some pray on the anniversary of Tibetan National Uprising Day, others secretly carry pictures of the Dalai Lama, and many join together to promote Tibetan culture and support Tibetan businesses. &nbsp;</li></ol> <p><strong>Self-immolation</strong></p> <p>Starting in 2009, Tibetans have begun self-immolating in response to the Chinese Rule. The peak of these protests was in 2012, when more than 80 took place. Students, teachers, mothers, fathers, and even children have self-immolated. The map on the left shows where these have occurred in China and Tibet. The larger the dot, the more self-immolations at that location. Clicking on a dot will show the people who self-immolated.</p> <p style='text-align:center'><b>Self-immolations by place over time</b></p> iframe(//www.viseyes.org/shiva/go.htm?e=3247,150)<br><p style='text-align:center'><b>Self-immolations by gender and role</b></p><img src=""https://farm5.staticflickr.com/4555/37990915574_88281b0ab1_z_d.jpg"" width=""100%""><p><b>The Dalai Lama's response to the self-immolations</b></p> <p>The Dalai Lama has been&nbsp;criticized for not condemning self-immolations in Tibet. He refuses to do so out of respect for the families of those who have self-immolated. He has stated that he does not want to bring shame to the family, or say that their loved one died doing something wrong.&nbsp;</p> iframe(https://www.youtube.com/embed/ZiTzjUyZO-c,400)",,2,,,,,,,,"94.7628,33.0416,3000",,,
dl-2,story,418,,Dalai Lama,"<p><span style=""font-size:12px""><span style=""font-family:Verdana,Geneva,sans-serif"">Since the Chinese invasion, the Dalai Lama has taken several actions in hopes of establishing an autonomous Tibetan state within the People&rsquo;s Republic of China. He has also taken steps towards finding a peaceful resolution to the Chinese occupation of Tibet.&nbsp;</span</span></p><p><span style=""font-size:12px""><span style=""font-family:Verdana,Geneva,sans-serif"">In 1963, he issued a draft constitution for Tibet containing a number of reforms to democratize the government. This was called the Charter of Tibetans in Exile. It intended to grant freedom of speech, belief, assembly, and movement. In addition, it provided detailed guidelines for Tibetans living in exile. In September of 1987, the Dalai Lama proposed the Five Points Peace Plan. It was the first step in a peaceful solution to the Chinese government influence and hoped to end violence.&nbsp;</span</span</p><p><span style=""font-size:12px""><span style=""font-family:Verdana,Geneva,sans-serif"">On June 15, 1988, the Lama addressed members on the European Parliament in France. There, he proposed talks between the Chinese and Tibetans that would lead to a self-governing democratic political entity for Tibet. The plan was later thrown out because the Chinese leadership had a negative reaction towards it.</span></span></p><p><span style=""font-size:12px""><span style=""font-family:Verdana,Geneva,sans-serif""><img alt="""" src=""https://farm5.staticflickr.com/4533/38782825951_a50bb79ffe_o_d.jpg""></span></span></p><p><span style=""font-size:12px""><span style=""font-family:Verdana,Geneva,sans-serif"">However, as the Dalai Lama grows older, there has been much confusion and speculation about to what will happen when he dies.&nbsp;</span></span></p><p><span style=""font-size:12px""><span style=""font-family:Verdana,Geneva,sans-serif""><strong>The line of succession:&nbsp;</strong></span></span></p><p><span style=""font-size:12px""><span style=""font-family:Verdana,Geneva,sans-serif"">In 1995, six-year-old Gedhun Choekyi Nyima, was named the 11th Panchen Lama&mdash;one of the highest ranking religious officials in Tibet as a part of the Gelug tradition. The Panchen Lama bears part of the responsibility of finding the reincarnation of the Dalai Lama, and vice versa. This has been the tradition since the 5th Dalai Lama recognized&nbsp;Lobsang Ch&ouml;kyi Gyaltsen&nbsp;as the Panchen Lama of Tashi Lhunpo.</span></span></p><p><span style=""font-size:12px""><span style=""font-family:Verdana,Geneva,sans-serif""><img alt="""" src=""https://farm5.staticflickr.com/4532/23918416937_c46a16395d_o_d.jpg"" style=""height:546px; width:450px"" /></span></span></p><p><span style=""font-size:12px""><span style=""font-family:Verdana,Geneva,sans-serif"">Shortly after&nbsp;Gedhun was discovered, the child and his family were&nbsp;abducted by the Chinese government.&nbsp;Six months later, China announced that it had selected a Tibetan boy named Gyaltsen Norbu to become the Panchen Lama.&nbsp;Gedhun Choekyi Nyima and his family have not been seen since, and according to Norbu Dunzhub, a member of the Tibet Autonomous Region&rsquo;s United Front Work Department,&nbsp;&ldquo;The reincarnated child Panchen Lama...is being educated, living a normal life, growing up healthily and does not wish to be disturbed.&quot;</span></span></p><p><span style=""font-size:12px""><span style=""font-family:Verdana,Geneva,sans-serif""><img alt="""" src=""https://farm5.staticflickr.com/4521/38782825471_25962211a5_z_d.jpg"" style=""height:302px; width:450px"" /></span></span></p><p><span style=""font-size:12px<span style=""font-family:Verdana,Geneva,sans-serif"">In response to this, the Dalai Lama has stated that he may not reincarnate again, and that the line of succession may be broken.&nbsp;He has also considered choosing his next successor while he is still alive&mdash;through either a democratic election by senior monks, or by choosing the successor himself. &nbsp;</span></span></p><p><span style=""font-size:12px""><span style=""font-family:Verdana,Geneva,sans-serif""><img alt="""" src=""https://farm5.staticflickr.com/4569/23918416277_179db5391a_o_d.jpg"" style=""height:308px; width:450px"" /></span></span></p>",,2,,,,,,,,"95.0957,33.4597,3500",,,
today-2,story,462,,Tibet Today,"<p><span style=""font-family:Verdana,Geneva,sans-serif""><strong>Immigration</strong></span></p> <p><span style=""font-family:Verdana,Geneva,sans-serif"">At the end of the 20th century, China launched the &ldquo;Developing West&rdquo; campaign&mdash;a long term project to promote social and economic integration between China and its western regions. The &ldquo;west&rdquo; in China includes the 5 autonomous regions of Tibet, Xinjiang, Inner Mongolia, Ningxia, Guangxi. Among these regions, the Tibet Autonomous Region (TAR) has been a priority.&nbsp;</span></p><p><span style=""font-family:Verdana,Geneva,sans-serif"">In an effort to promote this &ldquo;integration,&rdquo; Chinese economic policies have encouraged the migration of Han Chinese into Tibet&mdash;a migration that is often seen as a second invasion. One way in which China has facilitated the migration of the Han Chinese has been with the construction of the Qinghai Tibet Railway&mdash;an express train that runs from Beijing to Lhasa and finished construction in July of 2006.</span></p><p><span style=""font-family:Verdana,Geneva,sans-serif""><img src=""https://farm5.staticflickr.com/4554/38752310962_5c15886e07_o_d.jpg"">&nbsp;</span></p><p><span style=""font-family:Verdana,Geneva,sans-serif"">According to Tibetan exiles, the region is currently home to 7.5 million Han Chinese and only 6 million Tibetans. However, according to data from PRC 2000 Census, the numbers are very different. It is difficult to get verified data on the populations of this region. However, in more urbanized areas, such as Lhasa, it is clear that the number of Han Chinese has risen dramatically since the end of the 20th century.</span></p><p><span style=""font-family:Verdana,Geneva,sans-serif""><img alt="""" src=""https://farm5.staticflickr.com/4573/26953855249_02194a6f07_o_d.png"" /></span></p><p><span style=""font-family:Verdana,Geneva,sans-serif""><strong>How Han Chinese migration has changed daily life in Tibet:</strong></span></p><ol>         <li><span style=""font-family:Verdana,Geneva,sans-serif"">The Tibetan language is mainly used in Tibetan Language class. One must know Chinese in order to survive. Half of all teachers are Chinese, and all exams, except the Tibetan Language exam, are in Chinese. According to Tendun, a 23-year-old monk, &ldquo;You have to learn Chinese as without it you can&rsquo;t achieve anything and you&rsquo;ll have no future.&rdquo;&nbsp;</span></li>         <li><span style=""font-family:Verdana,Geneva,sans-serif"">Diets are changing. Tibetan children who are sent to boarding school where they learn to like rice, instead of Tsampa&mdash;traditional roasted barley. According to Luorong Zhandui, an ethnic Tibetan, &ldquo;They [the children] come home, and they don&rsquo;t want tsampa, which makes parents worry they are losing their identity.&rdquo; Additionally, there has been an increase in Chinese cuisine and restaurants found in Tibetan.</span></li>         <li><span style=""font-family:Verdana,Geneva,sans-serif"">China has invested huge amounts of money urbanizing and building up the infrastructure in Tibet. This includes the construction of 230,000 grey, stone houses for 1.3 million Tibetans. This, in conjunction with the express train, has been used to facilitate tourism as many Tibetans have been forced to move away from tourist-areas in Tibet, and into these &ldquo;comfort houses.&rdquo;</span></li></ol><p><span style=""font-family:Verdana,Geneva,sans-serif""><strong>Tourism</strong></span></p><p><span style=""font-family:Verdana,Geneva,sans-serif"">After decades of systematically oppressing Tibetan culture, China has realized that it has great financial value. Today, Tibet is being marketed, especially to domestic Chinese tourists, as an attractive holiday destination. Critics say that tourism is being used to bind Tibet more closely to China. Additionally, the Tibet seen by tourists has been sanitized by and for the Chinese&mdash;the guides are Chinese and the food is Chinese.</span></p><p><span style=""font-family:Verdana,Geneva,sans-serif""><img src=""https://farm5.staticflickr.com/4580/38752311032_9a8c6b381a_o_d.jpg"" style=""height:337px; width:450px"" /><br>According to numbers published by the Chinese government, about 23 million tourists visit Tibet a year. However, it is possible that this number could be as low as 8 million. Nevertheless, this influx of tourists can be seen as an attempt by China to trivialize and commodify Tibetan culture.&nbsp;</span></p><p><span style=""font-family:Verdana,Geneva,sans-serif""><img src=""https://farm5.staticflickr.com/4554/24910008798_9c061e30f0_o_d.jpg"" style=""height:337px; width:450px"" /><br>&ldquo;She is Crying on the Hill,&rdquo; a blog post by a Chinese traveler named &ldquo;December,&rdquo; presents and comments on images of other Chinese tourists photographing Tibetans at the Taktsang Lhamo temple in a highly intrusive and aggressive manner. Additionally, there has been controversy over photos emerging of Chinese tourists standing on traditional Tibetan prayer flags or sitting on Buddhist statues.&nbsp;</span></p><p><span style=""font-family:Verdana,Geneva,sans-serif""><img src=""https://farm5.staticflickr.com/4531/24910008778_7ce9f2209b_z_d.jpg"" style=""height:301px; width:450px"" /></span></p>",,2,,,,,,,,"102.8182,33.3068,4891",,,
,,374,410,Aba County,,,,,79,75,,dot,red,,"101.6996,32.9031",se,show:Ababook,
,,374,410,Gannan ,,,,,51,75,,dot,red,,"102.91,34.9818",se,show:Gannanbook,
,,374,410,Huangnan ,,,,,38,75,,dot,red,,"102.0208,35.5211",se,show:Huangnanbook,
,,374,410,Ganzi,,,,,31,75,,dot,red,,"101.9653,30.0538",se,show:Ganzibook,
,,374,410,Yushu ,,,,,26,75,,dot,red,,"97.0919,33.0087",se,show:Yushubook,
,,374,410,Guloui ,,,,,24,75,,dot,red,,"100.2302,34.47",se,show:Gulouibook,
,,374,410,Naqu Pref.,,,,,24,75,,dot,red,,"88.4562,29.8162",se,show:Naqu Pref.book,
,,374,410,Lhasa Mun.,,,,,26,75,,dot,red,,"91.162,29.6571",se,show:Lhasa Mun.book,
,,374,410,Haidong Pref.,,,,,22,75,,dot,red,,"102.0974,36.5033",se,show:Haidong Pref.book,
,,374,410,Changdu Pref.,,,,,22,75,,dot,red,,"104.0553,30.5706",se,show:Changdu Pref.book,
,,374,410,Haixi,,,,,22,75,,dot,red,,"97.3696,37.3941",se,show:Haixibook,
