start,end,title,desc,pic,pos,marker,color,size,opacity,edge,mapMarker,mapColor,mapSize,where,show,click,id,citation,tags
03/30/1939,05/01/1940,,"<b>Château de la Guette:</b> After going to the Rothschild Hospital, Louis was sent with the other children to the Rothschild castle Château de la Guette outside of Paris. When asked what it was like to live there, he replied, ""Heaven."" Louis describes daily routines at the château, which included a daily room inspection, raising the flag, and singing the Marseillaise as a group. Of the education at La Guette, Louis says that the educators, ""...taught us comradeship. They taught us to be good. They taught us to give and not to take."" He also explains that he learned French, went on outings with the group, and took part in the Children's Republic formed at the home. Additionally, Louis enjoyed his favorite pastime, soccer. He shares primarily happy memories of this time in his oral history interview, but no doubt there were also challenges of being away from home.",,2,Square,Gray3,,,,,,,"2.774872, 48.820297, 2000",,"where: 2.774872, 48.820297, 2000",p-guette,,
05/02/1940,06/30/1941,,"<b>Hôtel des Anglais:</b> After living outside of Paris, the La Guette group had to flee further south in order to escape the German occupation of northern France. Louis describes the experience of leaving as ""scary."" The group lived at a site called Hôtel des Anglais in La Bourboule. Louis explains that the hotel building where they lived was not in very good shape. He says that it was cold in the winter and there was not enough food.",,1,Square,Gray3,,,,,,,"2.735165, 45.587787, 2000",,"where: 2.735165, 45.587787, 2000",p-bourboule,,
07/01/1941,08/26/1942,École Pratique,"Many of the older La Guette children were sent from Hôtel des Anglais to learn a trade or to attend school elsewhere. Louis was sent to Brive-la-Gaillard in Corrèze, where he lived and studied at the École Pratique d'Artisanat Rural, a technical school. He was with eleven other La Guette boys at the school. There, he studied a variety of subjects but particularly learned about mechanics, which he enjoyed studying. While there, he took part in the local Jewish community's services and events.<p>In August of 1942, there was a roundup of Jews, and those who were sixteen years old and older were arrested. Louis was sixteen, so he and five other La Guette boys were arrested early one morning. Louis says that it was most likely planned ahead of time, but nobody warned the teenagers so that they could flee.",,0,Square,Gray3,,,,,,,"1.496772, 45.150275, 2000",,"where: 1.496772, 45.150275, 2000",p-brive,,
08/26/1942,08/27/1942,Nexon,"Louis and the other La Guette children arrested at École Pratique d'Artisanat Rural were sent to the French internment camp Nexon, where they stayed for about a day.",,5,Square,Gray3,,,,,,,"1.1881, 45.6792, 2000",,"where: 1.1881, 45.6792, 2000",p-nexon,,
08/27/1942,08/31/1942,Drancy,"Following their time at Nexon, the group was sent to Drancy, an internment camp near Paris. From Drancy, most people were deported to extermination camps, most commonly Auschwitz. On August 31, 1942 Louis and the five other La Guette boys were transported by cattle car as part of Transport 26.",,4,Square,Gray3,,,,,,,"2.455, 48.92, 2000",,"where: 2.455, 48.92, 2000",p-drancy,,
09/03/1942,09/04/1942,,"<b>Cosel:</b> The cattle car that Louis was on stopped in Cosel (Koźle), Silesia. There, individuals were split up, or ""selected."" Some, including Louis and his five La Guette peers, were deemed able to work, and were sent to labor camps. Those who were not seen as useful workers were sent to Auschwitz.",,3,Square,Gray3,,,,,,,"18.1458, 50.3353, 2000",,"where: 18.1458, 50.3353, 2000",p-cosel,,
09/05/1942,03/1943,,"<b>Fürstengrube:</b> Through Louis's journey he was sent to about 20 labor camps. While the dates and names of each are not known, Fürstengrube was one of the labor camps. In Fürstengrube Louis worked hard labor shoveling coal in the coal mines. Food was minimal and often consisted of meager soup and ""rotten potato peels,"" and Louis lived with others in barracks. While at Fürstengrube, Louis began seeing people die ""of manultrition and hard labor.""",,2,Square,Gray3,,,,,,,"19.097222, 50.191667, 2000",,"where: 19.097222, 50.191667, 2000",p-furstengrube,,
04/1943,12/1943,Graeditz,"Louis was sent to the labor camp Graeditz. There was a typhus epidemic, and four of the five La Guette children who were with Louis died.",,1,Square,Gray3,,,,,,,"18.666667, 50.283333, 2000",,"where: 18.666667, 50.283333, 2000",p-gliwice,,
01/1944,11/1944,,<b>Faulbrück:</b> Another labor camp where Louis was sent was Faulbrück.,,,Square,Gray3,,,,,,,"16.588889, 50.780833, 2000",,"where: 16.588889, 50.780833, 2000",p-faulbruck,,
12/1944,12/1945,Hirschberg,"Louis was sent to a camp called Hirschberg, which was a sub-camp of the Gross-Rosen concentration camps. Louis was chosen for the camp because he had knowledge of mechanics from his education at the technical school. At Hirschberg, he worked in a factory doing mechanical work and welding.",,4,Square,Gray3,,,,,,,"15.734444, 50.903333, 2000",,"where: 15.734444, 50.903333, 2000",p-hirschberg,,
01/1945,04/11/1945,Buchenwald,"In January of 1945 Louis was sent on a death march. Louis and the others marched for miles in the snow and cold. Many people died along the way. The death march ended with Louis and the group being sent by train to the concentration camp Buchenwald.<p>Louis was extremely weak and sick during his time at Buchenwald. He did see another La Guette child, Alfred, there, and for a time Alfred was able to give Louis food. Despite some help from his friend, Louis continued to decline in health and he remained in the barracks where he was very sick. On April 11, 1945, the camp was liberated by the US Army. Louis was emaciated and soldiers began to rehabilitate him. He was sent to Paris to recover.",,2,Square,Gray3,,,,,,,"11.248056, 51.022222, 2000",,"where: 11.248056, 51.022222, 2000",p-buchenwald,,
04/15/1945,06/31/1945,,"<b>Hôpital de la Salpêtrière:</b> After the liberation of Buchenwald, Louis was sent to a hospital, Hôpital de la Salpêtrière in Paris, to recover. He spent about two months in hospital, during which time he was very sick and at one point was in a coma.",,1,Square,Gray3,,,,,,,"2.365, 48.837, 2000",,"where: 2.365, 48.837, 2000",p-hopital,,
07/1945,01/20/1946,South of France,"Once he had recovered at the hopsital, Louis was sent to a children's home, possibly in the south of France.",,0,Square,Gray3,,,,,,,,,,p-south,,
01/21/1946,05/1946,Stockholm,"Louis found out that his mother survived the war and was living in Sweden. In January of 1946 he went to Stockholm to visit his mother. He stayed with her for a while and was took classes in electrical welding at a school in Stockholm. Louis was going to use his welding skills to work in Stockholm, but then he learned that he could not work in the country.",,5,Square,Gray3,,,,,,,"18.068611, 59.329444, 2000",,"where: 18.068611, 59.329444, 2000",p-stockholm,,
05/1946,09/20/1947,,"<b>Paris:</b> Louis decided to leave Stockholm and return to Paris where he had friends. By May of 1946 he was living at Foyer des Etudiants, a children's home on rue Rollin in Paris.",,4,Square,Gray3,,,,,,,"2.351059, 48.844662, 2000",,"where: 2.351059, 48.844662, 2000",p-paris,,
09/21/1947,09/21/1947,Le Havre,Louis left for the United States from Le Havre in September of 1947. He was on a ship that also carried other children to the U.S.,,3,Square,Gray3,,,,,,,"0.1, 49.49, 2000",,"where: 0.1, 49.49, 2000",p-havre,,
09/29/1947,10/1964,New York City,"Louis arrived in the United States in September of 1947. He lived in New York City and got a job repairing sewing machines. His mother joined him in the United States a few years later and they lived together. He later lived for a time in Macon, Georgia and then moved back to New York.",,2,Square,Gray3,,,,,,,"-73.959722, 40.790278, 2000",,"where: -73.959722, 40.790278, 2000",p-newyork,,
,07/2004,Miami,"Louis eventually moved to Miami, Florida. He co-owned a bakery and then later worked as a plant manager in a factory. Louis was active in Holocaust organizations in Miami and told schoolchildren about his wartime experiences. He also played an active role in La Guette reunions. Louis passed away in Miami in 2004.",,3,Square,Gray3,,,,,,,"-80.208889, 25.775278, 2000",,"where: -80.208889, 25.775278, 2000",p-miami,,
,,,,,,,,,,,,,,,,,,,
,,Wartime Dispersion: Fleeing over the border into Switzerland,,,,,,,,,,,,,,,,,
,,Jussy,,,,Dot,#363997,,,,,,,"6.283333, 46.25, 2000",,"where: 6.283333, 46.25, 2000",z-jussy,,
,,Geneva,,,,Dot,#363997,,,,,,,"6.15, 46.2, 2000",,"where: 6.15, 46.2, 2000",z-geneva,,
,,Annemasse,,,,Dot,#363997,,,,,,,"6.2364, 46.1958, 2000",,"where: 6.2364, 46.1958, 2000",z-annemasse,,
,,Soral,,,,Dot,#363997,,,,,,,"6.05, 46.133333, 2000",,"where: 6.05, 46.133333, 2000",z-soral,,
,,Chêne-Bourg,,,,Dot,#363997,,,,,,,"6.2, 46.2, 2000",,"where: 6.2, 46.2, 2000",z-chenebourg,,
,,Bardonnex,,,,Dot,#363997,,,,,,,"6.1, 46.133333, 2000",,"where: 6.1, 46.133333, 2000",z-bardonnex,,
,,Chancy,,,,Dot,#363997,,,,,,,"5.966667, 46.15, 2000",,"where: 5.966667, 46.15, 2000",z-chancy,,
,,Gy,,,,Dot,#363997,,,,,,,"6.25, 46.25, 2000",,"where: 6.25, 46.25, 2000",z-gy,,
,,,,,,,,,,,,,,,,,,,
,,Alex's Journey,,,,,,,,,,,,,,,,,
01/1927,03/14/1939,Vienna,"Alex was born in 1927 in Liesing, Austria (now part of Vienna). His parents owned a store and Alex lived with his parents and younger brother in an apartment above the store. He attended school and his favorite subject was geography. Alex grew up in a Jewish family and he and his family were fairly religious; they attended synagogue regularly and celebrated Jewish holidays. When Alex was eleven years old, the Nazis annexed Austria. Soon, Alex was excluded from playing with some of his gentile friends and he faced discrimination in school.<p>As life in Vienna became dangerous for Jews, Alex's parents sent their son out of Austria in an effort to keep him safe. Alex was part of a <i>Kindertransport</i> to France that left Vienna in mid-March of 1939. The children went by train to France.",,5,Square,Green,,,,,,,"16.2844, 48.1378, 2000",,"where: 16.2844, 48.1378, 2000",w-liesing,,
03/28/1939,05/01/1940,Château de la Guette,"After his time at the Rothschild Hospital and Château de Maubuisson, Alex moved into Château de la Guette. La Guette was a Rothschild castle owned by the Baron Edouard and Baroness Germaine de Rothschild. There Alex learned French, took classes, and played with his peers.",,1,Square,Green,,,,,,,"2.774872, 48.820297, 2000",,"where: 2.774872, 48.820297, 2000",w-guette,,
05/02/1940,09/23/1940,Hôtel des Anglais,"As the Germans advanced towards northern France, the La Guette group moved further south to Hôtel des Anglais in La Bourboule.",,0,Square,Green,,,,,,,"2.735165, 45.587787, 2000",,"where: 2.735165, 45.587787, 2000",w-bourboule,,
09/23/1940,05/31/1943,Nice,"In September of 1940, Alex was sent to Nice to go to a commercial and hotel school called École Hôtelière. He lived at a pension called Consuelo. Alex was also part of a Zionist group that met in Nice. Alex had to register with the local police station every few months because he was not a French citizen. One day, he was arrested for being Jewish, but he was able to talk his way out of it and escape.",,5,Square,Green,,,,,,,"7.249568, 43.693490, 2000",,"where: 7.249568, 43.693490, 2000",w-nice,,
06/01/1943,08/10/1943,Séranon,"When he encountered difficulties in Nice, Alex went to the French town Séranon. He lived in a church that was under the leadership of Abbé Daniel Goens. There, Alex hid under a false identity and pretended to be one of the Catholic boys. He was one of a few Jewish children who hid there at the same time, including his friend Otto, another La Guette child.",,4,Square,Green,,,,,,,"6.694205, 43.771730, 2000",,"where: 6.694205, 43.771730, 2000",w-seranon,,
8/11/1943,08/23/1943,Lyon,"When Alex's situation in Séranon became risky, he went to Lyon. There he was asked if he would lead a group of Jewish children in an illegal border crossing into Switzerland.",,3,Square,Green,,,,,,,"4.84, 45.76, 2000",,"where: 4.84, 45.76, 2000",w-lyon,,
08/24/1943,08/26/1943,,"<b>Swiss Border</b><p>Alex led a group of about twelve children in his first attempt to cross the border into Switzerland. However, the Swiss soldiers sent back anyone who was 16 years old or over, and Alex was sixteen. Alex was forced to go back into France with a few others who were sixteen or older. They did not know the way back so they hid in a barn overnight. Then they asked the help of a priest, who took them to the train, and they traveled back to Lyon.",,2,Square,Green,,,,,,,"6.296077, 46.255835, 2000",,"where: 6.296077, 46.255835, 2000",w-swissborder,,
08/27/1943,09/08/1943,Lyon,"Alex returned to Lyon, where he prepared for a second attempt at crossing the border. He had his birthdate slightly altered so that he would appear to be under 16 years old. The first letter of his last name was also changed so that he would not be identified as trying to cross the border for a second time.",,1,Square,Green,,,,,,,"4.84, 45.76, 2000",,"where: 4.84, 45.76, 2000",w-lyon2,,
09/9/1943,9/10/1943,,"<b>Jussy</b><p>Alex crossed the border near Jussy, Switzerland in September of 1943. This time, he was not turned away by the Swiss guards.",,0,Square,Green,,,,,,,"6.283333, 46.25, 2000",,"where: 6.283333, 46.25, 2000",w-switzerland,,
9/11/1943,10/29/1943,Vevey,"Alex was sent to live at a Swiss refugee camp called Vevey. He says that overall, conditions were good in the refugee camp. Alex put his hotel school experience to work by serving Swiss soliders. As a result, he often got extra food.",,4,Square,Green,,,,,,,"6.85, 46.466667, 2000",,"where: 6.85, 46.466667, 2000",w-vevey,,
10/30/1943,12/31/1943,Speicher,"Eventually, Alex was placed with a family that took him in for a bit. The family lived in Speicher, Switzerland and had a butcher shop. Food was plentiful and Alex benefitted from finally having a sufficient supply of good quality food to eat. He had a good experience living with the family.",,3,Square,Green,,,,,,,"9.433333, 47.4, 2000",,"where: 9.433333, 47.4, 2000",w-speicher,,
01/01/1944,03/31/1944,Speicher,"After living with the family, Alex was sent to a children's home in Speicher. While living in Speicher he went skiing for the first time and broke his foot. He was in a cast for a while as a result.",,2,Square,Green,,,,,,,"9.433333, 47.4, 2000",,"where: 9.433333, 47.4, 2000",w-speicher2,,
04/01/1944,04/24/1945,Geneva,"After living in Speicher, Alex went to Geneva to work at a children's home called Hôme de la Forêt. There, he once again used his hotel school experience. At this children's home he purchased supplies and made menus of what would be served at mealtimes.",,1,Square,Green,,,,,,,"6.15, 46.2, 2000",,"where: 6.15, 46.2, 2000",w-geneva,,
04/24/1945,01/01/1951,,"<b>Fontenay-aux-Roses</b><p>After living in Switzerland, Alex returned to France in April of 1945. There, he eventually worked at another OSE children's home, Château de Boucicaut in Fontenay-aux-Roses. Through his position he interacted with many children who were concentration camp survivors, and he helped the children readjust to life outside of the camps. Alex also reconnected with Lida Jablonski, a former La Guette educator who was also working at Fontenay-aux-Roses.",,4,Square,Green,,,,,,,"2.309590, 48.762710, 2000",,"where: 2.309590, 48.762710, 2000",w-fontenay,,
01/01/1951,01/29/1953,,"<b>Rue Spontini</b><p>After working in Fontenay-aux-Roses, Alex worked at the OSE headquarters in Paris, which was located on Rue Spontini. Alex was in charge of purchasing food and planning menus. Later, he worked in Paris as a bookkeeper. Alex often made trips to England during the post-war period to visit relatives who lived there.",,3,Square,Green,,,,,,,"2.276481, 48.867225, 2000",,"where: 2.276481, 48.867225, 2000",w-spontini,,
02/05/1953,02/12/1953,Brooklyn,"Alex learned that his mother and brother were killed in 1943 when the ghetto in Złoczów, Poland was liquidated. Alex's father survived the war despite living under harsh conditions in Russia. In the post-war period, Alex's father remarried and immigrated to the United States. After finishing work in children's homes and getting necessary immigration documents, Alex too immigrated to the US. He left Le Havre on the ship the Île-de-France, which arrived in New York in February of 1953. Alex lived in Brooklyn, New York for about a week with his relatives before leaving to meet up with his father in Los Angeles.",,1,Square,Green,,,,,,,"-73.9903, 40.6928, 2000",,"where: -73.9903, 40.6928, 2000",w-brooklyn,,
02/12/1953,12/1963,Los Angeles,Alex joined his father and stepmother in Los Angeles. He found a job through a relative and then ended up working in a French restaurant soon after he arrived in the United States. Alex married and eventually had two children.,,0,Square,Green,,,,,,,"-118.25, 34.05, 2000",,"where: -118.25, 34.05, 2000",w-angeles,,
01/1977,07/2006,Kirkland,"Alex and his family eventually moved to Kirkland, Washington, where he lived until he passed away in 2006. Alex held a variety of positions throughout his career. He worked as a bookkeeper, in sales, and in the employee recruitment industry. Alex kept in contact with some of his La Guette peers later in life.",,4,Square,Green,,,,,,,"-122.191667, 47.685833, 2000",,"where: -122.191667, 47.685833, 2000",w-kirkland,,
,,,,,,,,,,,,,,,,,,,
,,Story Pane Pages,,,,,,,,,,,,,,,,,
,,Introduction,"<img alt=""Group Photograph of La Guette Children"" src=""https://farm5.staticflickr.com/4527/24963661968_1c6ecd392a_o_d.jpg"" style=""width:100%"" /><br><i>Group portrait of Jewish refugee children at the Château de la Guette children's home.</i> (Elsewhere titled <i>France, Jewish children who hid in Chateau de la Guette, on a trip.)</i> zoomer(Zoomable image,https://farm5.staticflickr.com/4527/24963661968_1c6ecd392a_o_d.jpg)<p>In March of 1939, Jewish German and Austrian children were sent on <i>Kindertransports</i>, or children's transports, to France in an effort to rescue them from Nazi rule. About 134 of these children lived together at Château de la Guette, a Rothschild family estate outside of Paris that was turned into a children's home. While there, they had a vibrant educational and communal life.<p>Because of France's unique wartime context, the children were forced to leave La Guette and continue their migrations, first as a group and then as individuals or in smaller groups. The La Guette experience and community often reemerged as a source of stability, comfort, and companionship for the children during the war and into their adult lives.<p>This digital project traces the transnational journeys of the La Guette children as they fled persecution and searched for home. The map, timeline, and story pane highlight the general journey taken by the La Guette group as well as four individual journeys representing common paths taken by the children during the war:<p style=""margin-left: 20px"">1) Hiding in France for the duration of the war<br>2) Fleeing illegally over the border into Switzerland<br>3) Discovery and deportation<br>4) Immigration to the United States in 1941</p>Click through the pages of this project to learn more about the children's experiences and consider the impact of communal life in France on the children's lives both spatially and socially.<p>Sarah Schneider<br>M.A. in History Student<br>University of Central Florida<p>*Please keep in mind that specific dates on the map and timeline may be estimations given limited information in source materials.</p>mask(i-)</p>segment(6)",,,Story,,,,,,,,"6, 48.5, 4100",,,st1,"Image: Group portrait of Jewish refugee children at the Château de la Guette children's home. United States Holocaust Memorial Museum Photo Archives #83051. Courtesy of Werner Neuberger. Copyright of United States Holocaust Memorial Museum.<br>Link: <a href=""https://collections.ushmm.org/search/catalog/pa1119869""target=""_blank"">United States Holocaust Memorial Museum Collections</a><p>Alternative Image Source and Title: <a href=""https://photos.yadvashem.org/photo-details.html?language=en&item_id=70627&ind=6""target=""_blank"">Yad Vashem Digital Collections</a>",
,,Places of Origin in Germany and Austria,"<img alt=""Weitzmanns Before France"" src=""https://farm5.staticflickr.com/4543/37949342935_6b3f60c2cf_o_d.jpg"" style=""width:100%"" /><br><i>Eva and Walter Weitzmann bid farewell to their mother and grandmother prior to leaving on a Kindertransport to France.</i> zoomer(Zoomable image,https://farm5.staticflickr.com/4543/37949342935_6b3f60c2cf_o_d.jpg)<p>The La Guette children grew up throughout Germany and Austria. The children came from diverse socioeconomic backgrounds and levels of Jewish observance prior to their arrival in France. Some of the children lived in rural areas and others lived in cities such as Berlin and Vienna. As is seen on the map, the German children lived in cities and towns throughout the country, whereas most of the La Guette children in Austria lived in Vienna or in the surrounding area. This parallels demographic trends of Jews living in Germany and Austria during this period. Click on the points on the map to see where the children grew up in Germany and Austria and how many children grew up in each location.<p>mask(b-)</p>segment(1)",,,Story,,,,,,,,"11.977288, 51.131133, 3700",,,st2,"Image: Eva and Walter Weitzmann bid farewell to their mother and grandmother prior to leaving on a Kindertransport to France. United States Holocaust Memorial Museum Photo Archives #64307. Courtesy of Eva Moore. Copyright of United States Holocaust Memorial Museum.<br>Link: <a href=""https://collections.ushmm.org/search/catalog/pa1152771""target=""_blank"">United States Holocaust Memorial Museum Collections</a><p><i>Les Enfants de la Guette: Souvenirs et Documents (1938-1945)</i> (Paris: Centre de Documentation Juive Contemporaine, 1999).",
,,Childhood in Germany and Austria Prior to Nazi Rule,"<img alt=""Children in School"" src=""https://farm5.staticflickr.com/4566/24963661028_6d5ff9a32f_o_d.jpg"" style=""width:100%"" /><br><i>Austrian and Jewish children in the Schubert Schule in Vienna.</i> zoomer(Zoomable image,https://farm5.staticflickr.com/4566/24963661028_6d5ff9a32f_o_d.jpg)<p><img alt=""Porges Family at the Beach"" src=""https://farm5.staticflickr.com/4552/37949342695_3f83aa2ac2_o_d.jpg"" style=""width:100%"" /><br><i>Jenny Porges poses with her two sons, Kurt and Paul Peter, at the beach.</i> zoomer(Zoomable image,https://farm5.staticflickr.com/4552/37949342695_3f83aa2ac2_o_d.jpg)<p>As the La Guette children grew up in Germany and Austria, their pastimes were those typical of youth: playing games and sports inside and outdoors, going to school, learning to dance or play an instrument, spending time with family, and going on outings to pools, parks, museums, and other places in their hometowns. The first picture above shows La Guette child Eva Weitzmann with her class at school in Vienna prior to leaving for France. The second picture shows La Guette child Paul Peter Porges at the beach with his mother and brother when he was young.<p><p>mask(b-)</p>segment(1)",,2,Story,,,,,,,,"11.977288, 51.131133, 3700",,,st3,"First Image: Austrian and Jewish children in the Schubert Schule in Vienna. United States Holocaust Memorial Museum Photo Archives #64306. Courtesy of Eva Moore. Copyright of United States Holocaust Memorial Museum.<br>Link: <a href=""http://collections.ushmm.org/search/catalog/pa1152770""target=""_blank"">United States Holocaust Memorial Museum Collections</a><p>Second Image: 
Jenny Porges poses with her two sons, Kurt and Paul Peter, at the beach. United States Holocaust Memorial Museum Photo Archives #66657. Courtesy of Paul Peter and Lucie Porges. Copyright of United States Holocaust Memorial Museum.<br>Link: <a href=""https://collections.ushmm.org/search/catalog/pa1156114""target=""_blank"">United States Holocaust Memorial Museum Collections</a>",
,,Growing up with the Rise of Nazism in Germany and Austria,"<img alt=""Kristallnacht Photo"" src=""https://farm5.staticflickr.com/4578/38836250811_5fc009bfb1_o_d.jpg"" style=""width:100%"" /><br><i>Germans pass by the broken shop window of a Jewish-owned business that was destroyed during Kristallnacht.</i> zoomer(Zoomable image,https://farm5.staticflickr.com/4578/38836250811_5fc009bfb1_o_d.jpg)<p>Despite coming from different backgrounds, the La Guette children collectively faced increasing discrimination, ostracism, and violence as Jews living under Nazi rule in Germany and Austria. Many of the La Guette survivors recall being suddenly excluded from playing with gentile friends as the Nazis came to power and Nazi ideology spread. In many cases the La Guette children were also beaten up or harassed by former friends, peers, and/or neighbors. Furthermore, the children were barred from many public spaces and could no longer enjoy pools, movie theaters, or parks that they had frequented with their families and friends.<p><i>Kristallnacht</i>, or the Night of Broken Glass, is discussed in most of the La Guette survivors' accounts. On <i>Kristallnacht</i> many of the La Guette children witnessed the destruction of Jewish-owned stores and the burning of local synagogues. Additionally, many of the children's fathers were arrested. <i>Kristallnacht</i> made clear the dangers of living in Germany and Austria as a Jew under Nazi rule.<p>mask(b-)</p>segment(1)",,2,Story,,,,,,,,"11.977288, 51.131133, 3700",,,st4,"Image: Germans pass by the broken shop window of a Jewish-owned business that was destroyed during Kristallnacht. United States Holocaust Memorial Museum Photo Archives #86838. Courtesy of National Archives and Records Administration, College Park.<br>Link: <a href=""https://collections.ushmm.org/search/catalog/pa16792""target=""_blank"">United States Holocaust Memorial Museum Collections</a>",
,,"<i>Kindertransport</i> to France, March 1939","<img alt=""Before Kindertransport"" src=""https://farm5.staticflickr.com/4547/24963660618_a560cbfefb_o_d.jpg"" style=""width:70%"" /><br><i>A young Jewish woman poses with her father shortly before she left Germany for France on a Kindertransport.</i> zoomer(Zoomable image,https://farm5.staticflickr.com/4547/24963660618_a560cbfefb_o_d.jpg)<p><i>Kindertransports</i>, or children's transports, were organized by local Jewish organizations to enable Jewish children to flee Nazi rule. The term <i>Kindertransport</i> is often used to exclusively refer to the approximately 10,000 children who were sent to Great Britain to escape Nazi persecution. However, there were also efforts to send children to France and elsewhere on <i>Kindertransports</i>.<p>Children in the Château de la Guette group left Germany and Austria on the <i>Kindertransport</i> to France in March of 1939. Trains picked up the children in Vienna, Berlin, and the Palatinate. The La Guette children were primarily between the ages of eight and fourteen when they left for France, with a few exceptions of children who were seven or fifteen. Some of the children were excited for the adventure to France and were told by parents that it would only be a short time before they were reunited. Others were more aware of the serious nature of their trip and the dangerous situation that they were leaving behind in Germany and Austria.<p>mask(k-)</p>segment(2)",,,Story,,,,,,,,"6, 48.5, 5000",,,st5,"Image: A young Jewish woman poses with her father shortly before she left Germany for France on a Kindertransport. United States Holocaust Memorial Museum Photo Archives #60720. Courtesy of Eric and Erica Goldfarb. Copyright of United States Holocaust Memorial Museum.<br>Link: <a href=""http://collections.ushmm.org/search/catalog/pa1151090""target=""_blank"">United States Holocaust Memorial Museum Collections</a>",
,,Life at Château de la Guette,"<img alt=""La Guette Building"" src=""https://farm5.staticflickr.com/4582/23970892657_7b059a7c82_o_d.jpg"" style=""width:100%"" /><br><i>France, The Chateau de la Guette estate.</i> zoomer(Zoomable image,https://farm5.staticflickr.com/4582/23970892657_7b059a7c82_o_d.jpg)<br><br><img alt=""Group of Girls at La Guette"" src=""https://farm5.staticflickr.com/4567/38836250651_350f39fe93_o_d.jpg"" style=""width:100%"" /><br><i>A group of girls stand in a line holding flowers in the Chateau de La Guette children's home.</i> zoomer(Zoomable image,https://farm5.staticflickr.com/4567/38836250651_350f39fe93_o_d.jpg)<p>When the children arrived in France they briefly stayed at the Rothschild Hospital in Paris, where they had medical check-ups. From there, some of the children temporarily stayed at Château de Maubuisson, which was part of a convent. Soon, however, all of the children arrived at Château de la Guette, the first main stop on their journey and a place that would have a long-lasting impact on many of the children's lives.<p>Château de la Guette was the hunting estate of Baroness Germaine and Baron Édouard de Rothschild, members of the French Rothschild family. The Baroness and Baron made possible the children's flight to France and sponsored the children's care in France. The La Guette castle was converted into living quarters for the children and the home was run by educators who were caretakers and teachers for the children. Some of the original educators were involved in the Spanish Civil War and their democractic values informed the children's education. The children took classes and the educators especially emphasized learning French. Later on, there was a change of educators in the group and Zionist ideology became more prominent in the home.<p>Life at La Guette included daily physical exercises, singing, plays and performances, work in a garden, outings, and other educational and recreational activities.",,,Story,,,,,,,,"2.775393, 48.822070, 2000",,,st6,"First Image: France, The Chateau de la Guette estate. Yad Vashem Photo Archive, Jerusalem. 3983/1.<br>Link: <a href=""https://photos.yadvashem.org/photo-details.html?language=en&item_id=70047&ind=5""target=""_blank"">Yad Vashem Digital Collections</a><p>Second Image: 
A group of girls stand in a line holding flowers in the Chateau de La Guette children's home. United States Holocaust Memorial Museum Photo Archives #64090. Courtesy of Rita Grusd. Copyright of United States Holocaust Memorial Museum.<br>Link: <a href=""http://collections.ushmm.org/search/catalog/pa1151618""target=""_blank"">United States Holocaust Memorial Museum Collections</a>",
,,Off-Site Placements from La Guette,"There was a change in leadership at La Guette as a result of the outbreak of war between France and Germany in September of 1939; two of the educators were interned as enemy aliens and one educator was a French citizen who was called up to fight. As a result, a new directrice was put in charge of the home.<sup>1</sup><p>Following this change in leadership at La Guette, a group of approximately ten of the older La Guette girls was sent to a boarding school in Saint-Briac, located in Brittany. It appears that the girls were sent to a French school to improve their French language skills. However, the girls may have also been sent away because they rebelled against the new La Guette directrice. The girls in Saint-Briac were suddenly in a very different environment than La Guette; they had to adjust to a Catholic school that was run very strictly, as Erika Goldfarb explains in her oral history, ""...we were so unaccustomed to this type of discipline, you see the French discipline and the restrictions and so on, but we managed.""<sup>2</sup><p>Eventually, a group of boys was also placed in a French school, but in Clamart. La Guette child Heinz Low wrote in a diary entry on May 26, 1940 that he was at the school École des Jeunes Gens in Clamart, ""in order to learn French faster and to make the 'Certificat d'Études'. At first it was very hard on us because we were used to La Guette. Now we are much happier since in a few days we will depart for Po[i]tiers because it is too dangerous here as a result of the bombings. We received lots of mail from La Guette. During Easter we went to La Guette for five days.""<sup>3</sup><p>The children placed in Saint-Briac and Clamart later re-joined the La Guette group in La Bourboule.<p>mask(o-)</p>",,2,Story,,,,,,,,".5, 48.822070, 1100",,,st7,"<sup>1</sup><i>Les Enfants de la Guette: Souvenirs et Documents (1938-1945)</i> (Paris: Centre de Documentation Juive Contemporaine, 1999), 19.<p><sup>2</sup>Erika Goldfarb, interview 4024, <i>Visual History Archive</i>, USC Shoah Foundation, 1995, accessed March 1-3, 2017.<p><sup>3</sup>Heinz Löw's Diary, Ruth Salmon Seltzer papers, 2007.421, United States Holocaust Memorial Museum Archives, Washington, DC.",
